adulteration_id,product_name,brand,category,adulterant,detection_date,detection_method,severity,health_risk,action_taken
25.0,Juice,BrandC,Dairy,Coloring agents,2/26/2024,Chemical Analysis,Moderate,High,Investigation Launched
26.0,Honey,BrandE,Meat,Chalk,6/14/2024,Chemical Analysis,Severe,High,Warning Issued
27.0,Chicken,BrandE,Condiments,Coloring agents,3/20/2024,Spectroscopy,Minor,Low,Warning Issued
28.0,Cheese,BrandC,Dairy,Chalk,3/25/2024,Sensory Evaluation,Moderate,Medium,Investigation Launched
29.0,Beef,BrandC,Meat,Melamine,5/19/2024,Spectroscopy,Moderate,High,Product Recall
30.0,Beef,BrandE,Meat,Melamine,5/30/2024,Spectroscopy,Moderate,Medium,Product Recall
31.0,Chicken,BrandA,Condiments,Water,1/2/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
32.0,Honey,BrandB,Bakery,Melamine,6/16/2024,Spectroscopy,Moderate,High,Fine Imposed
33.0,Yogurt,BrandE,Beverages,Chalk,6/2/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
34.0,Honey,BrandD,Bakery,Water,6/5/2024,Spectroscopy,Severe,High,Fine Imposed
35.0,Juice,BrandE,Meat,Water,6/9/2024,Spectroscopy,Moderate,Low,Product Recall
36.0,Honey,BrandE,Beverages,Melamine,1/31/2024,Microbiological Analysis,Severe,Medium,Warning Issued
37.0,Yogurt,BrandA,Condiments,Water,2/19/2024,Microbiological Analysis,Moderate,High,Investigation Launched
38.0,Honey,BrandA,Meat,Artificial sweeteners,5/3/2024,Spectroscopy,Severe,Low,Warning Issued
39.0,Cheese,BrandD,Condiments,Coloring agents,1/20/2024,Spectroscopy,Minor,High,Product Recall
40.0,Yogurt,BrandC,Beverages,Melamine,5/15/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
41.0,Juice,BrandD,Meat,Chalk,6/9/2024,Chemical Analysis,Minor,High,Product Recall
42.0,Milk,BrandD,Bakery,Artificial sweeteners,4/9/2024,Microbiological Analysis,Severe,Low,Investigation Launched
43.0,Bread,BrandC,Meat,Melamine,3/29/2024,Sensory Evaluation,Minor,High,Fine Imposed
44.0,Milk,BrandA,Bakery,Melamine,5/2/2024,Spectroscopy,Severe,High,Product Recall
45.0,Cheese,BrandC,Meat,Melamine,2/25/2024,Chemical Analysis,Severe,Medium,Fine Imposed
46.0,Beef,BrandC,Condiments,Melamine,1/13/2024,Sensory Evaluation,Minor,Low,Investigation Launched
47.0,Milk,BrandA,Bakery,Water,6/17/2024,Sensory Evaluation,Moderate,High,Warning Issued
48.0,Milk,BrandB,Condiments,Chalk,3/12/2024,Microbiological Analysis,Minor,Low,Investigation Launched
49.0,Juice,BrandB,Bakery,Coloring agents,3/1/2024,Chemical Analysis,Moderate,Medium,Product Recall
50.0,Butter,BrandE,Beverages,Chalk,6/23/2024,Chemical Analysis,Minor,Low,Product Recall
51.0,Yogurt,BrandA,Dairy,Artificial sweeteners,6/8/2024,Microbiological Analysis,Minor,Medium,Warning Issued
52.0,Yogurt,BrandC,Dairy,Melamine,2/12/2024,Spectroscopy,Severe,Medium,Warning Issued
53.0,Cheese,BrandB,Bakery,Coloring agents,6/2/2024,Spectroscopy,Moderate,High,Investigation Launched
54.0,Chicken,BrandE,Condiments,Melamine,3/17/2024,Spectroscopy,Severe,Low,Fine Imposed
55.0,Yogurt,BrandA,Bakery,Coloring agents,5/24/2024,Microbiological Analysis,Minor,Low,Product Recall
56.0,Milk,BrandD,Condiments,Artificial sweeteners,1/16/2024,Sensory Evaluation,Minor,Low,Product Recall
57.0,Wine,BrandA,Bakery,Water,5/21/2024,Sensory Evaluation,Moderate,Medium,Warning Issued
58.0,Butter,BrandA,Bakery,Melamine,6/2/2024,Chemical Analysis,Moderate,Medium,Warning Issued
59.0,Wine,BrandA,Condiments,Chalk,2/6/2024,Spectroscopy,Moderate,Low,Warning Issued
60.0,Bread,BrandD,Bakery,Chalk,3/26/2024,Sensory Evaluation,Moderate,Medium,Investigation Launched
61.0,Yogurt,BrandA,Condiments,Coloring agents,5/24/2024,Sensory Evaluation,Minor,Medium,Investigation Launched
62.0,Butter,BrandB,Condiments,Chalk,6/7/2024,Microbiological Analysis,Minor,High,Fine Imposed
63.0,Milk,BrandC,Condiments,Melamine,5/27/2024,Microbiological Analysis,Minor,Medium,Investigation Launched
64.0,Butter,BrandD,Meat,Water,5/7/2024,Spectroscopy,Minor,Low,Investigation Launched
65.0,Honey,BrandE,Dairy,Chalk,1/12/2024,Microbiological Analysis,Minor,Medium,Warning Issued
66.0,Chicken,BrandD,Dairy,Artificial sweeteners,1/8/2024,Spectroscopy,Minor,Medium,Warning Issued
67.0,Wine,BrandE,Meat,Coloring agents,1/27/2024,Spectroscopy,Minor,Low,Fine Imposed
68.0,Cheese,BrandC,Meat,Coloring agents,1/31/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
69.0,Juice,BrandD,Beverages,Chalk,5/1/2024,Chemical Analysis,Minor,Low,Product Recall
70.0,Chicken,BrandE,Meat,Artificial sweeteners,3/20/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
71.0,Chicken,BrandB,Dairy,Coloring agents,1/17/2024,Microbiological Analysis,Severe,Low,Fine Imposed
72.0,Yogurt,BrandD,Condiments,Artificial sweeteners,5/23/2024,Microbiological Analysis,Moderate,High,Warning Issued
73.0,Wine,BrandD,Beverages,Water,6/1/2024,Spectroscopy,Minor,Low,Fine Imposed
74.0,Juice,BrandE,Condiments,Artificial sweeteners,5/21/2024,Sensory Evaluation,Severe,High,Product Recall
75.0,Bread,BrandC,Condiments,Water,5/6/2024,Sensory Evaluation,Severe,Low,Investigation Launched
76.0,Honey,BrandA,Meat,Melamine,4/11/2024,Sensory Evaluation,Minor,High,Warning Issued
77.0,Bread,BrandE,Beverages,Chalk,5/28/2024,Spectroscopy,Severe,High,Fine Imposed
78.0,Cheese,BrandC,Condiments,Water,3/3/2024,Sensory Evaluation,Minor,Medium,Product Recall
79.0,Cheese,BrandC,Dairy,Chalk,4/24/2024,Sensory Evaluation,Severe,High,Product Recall
80.0,Juice,BrandB,Condiments,Coloring agents,5/30/2024,Microbiological Analysis,Moderate,High,Product Recall
81.0,Bread,BrandC,Condiments,Chalk,1/10/2024,Spectroscopy,Minor,High,Fine Imposed
82.0,Yogurt,BrandE,Meat,Water,1/14/2024,Spectroscopy,Minor,Medium,Warning Issued
83.0,Milk,BrandC,Condiments,Artificial sweeteners,4/26/2024,Chemical Analysis,Moderate,High,Product Recall
84.0,Chicken,BrandC,Bakery,Chalk,3/7/2024,Sensory Evaluation,Moderate,Medium,Product Recall
85.0,Bread,BrandD,Dairy,Artificial sweeteners,4/30/2024,Chemical Analysis,Moderate,Medium,Investigation Launched
86.0,Chicken,BrandB,Dairy,Coloring agents,6/5/2024,Spectroscopy,Minor,High,Investigation Launched
87.0,Bread,BrandC,Dairy,Melamine,5/27/2024,Microbiological Analysis,Minor,High,Fine Imposed
88.0,Honey,BrandC,Condiments,Artificial sweeteners,3/30/2024,Spectroscopy,Severe,Medium,Investigation Launched
89.0,Cheese,BrandD,Dairy,Melamine,2/26/2024,Sensory Evaluation,Minor,Medium,Fine Imposed
90.0,Juice,BrandE,Meat,Chalk,2/25/2024,Microbiological Analysis,Severe,High,Investigation Launched
91.0,Chicken,BrandB,Bakery,Chalk,2/10/2024,Spectroscopy,Minor,Medium,Warning Issued
92.0,Bread,BrandA,Condiments,Artificial sweeteners,2/6/2024,Spectroscopy,Minor,Medium,Product Recall
93.0,Yogurt,BrandC,Meat,Artificial sweeteners,2/7/2024,Chemical Analysis,Minor,Low,Investigation Launched
94.0,Juice,BrandC,Dairy,Water,3/18/2024,Microbiological Analysis,Minor,High,Investigation Launched
95.0,Butter,BrandD,Dairy,Melamine,6/3/2024,Chemical Analysis,Severe,Medium,Product Recall
96.0,Butter,BrandE,Meat,Coloring agents,1/12/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
97.0,Wine,BrandE,Bakery,Artificial sweeteners,3/2/2024,Chemical Analysis,Minor,High,Warning Issued
98.0,Beef,BrandB,Beverages,Chalk,5/1/2024,Chemical Analysis,Moderate,Medium,Fine Imposed
99.0,Juice,BrandD,Bakery,Artificial sweeteners,5/8/2024,Sensory Evaluation,Minor,High,Product Recall
100.0,Milk,BrandB,Condiments,Artificial sweeteners,1/29/2024,Chemical Analysis,Severe,Medium,Warning Issued
101.0,Milk,BrandD,Beverages,Water,1/30/2024,Sensory Evaluation,Severe,High,Investigation Launched
102.0,Juice,BrandC,Meat,Chalk,5/1/2024,Chemical Analysis,Severe,Medium,Investigation Launched
103.0,Butter,BrandB,Dairy,Water,6/1/2024,Spectroscopy,Moderate,High,Warning Issued
104.0,Bread,BrandA,Meat,Artificial sweeteners,1/12/2024,Microbiological Analysis,Severe,Medium,Investigation Launched
105.0,Milk,BrandA,Dairy,Water,5/13/2024,Sensory Evaluation,Severe,Medium,Warning Issued
106.0,Milk,BrandD,Meat,Artificial sweeteners,1/10/2024,Microbiological Analysis,Minor,Medium,Warning Issued
107.0,Wine,BrandB,Meat,Melamine,5/9/2024,Spectroscopy,Severe,Low,Investigation Launched
108.0,Cheese,BrandD,Beverages,Melamine,5/29/2024,Microbiological Analysis,Minor,Low,Investigation Launched
109.0,Wine,BrandC,Beverages,Artificial sweeteners,6/7/2024,Spectroscopy,Minor,Medium,Investigation Launched
110.0,Butter,BrandC,Bakery,Water,3/13/2024,Microbiological Analysis,Severe,High,Product Recall
111.0,Chicken,BrandD,Meat,Coloring agents,1/16/2024,Sensory Evaluation,Moderate,Low,Product Recall
112.0,Yogurt,BrandC,Bakery,Coloring agents,1/27/2024,Chemical Analysis,Severe,Medium,Warning Issued
113.0,Beef,BrandC,Beverages,Melamine,1/5/2024,Microbiological Analysis,Severe,High,Investigation Launched
114.0,Cheese,BrandE,Condiments,Chalk,4/16/2024,Sensory Evaluation,Moderate,High,Warning Issued
115.0,Butter,BrandC,Condiments,Water,5/26/2024,Chemical Analysis,Severe,Low,Warning Issued
116.0,Cheese,BrandC,Dairy,Coloring agents,1/15/2024,Microbiological Analysis,Severe,Low,Fine Imposed
117.0,Wine,BrandA,Condiments,Water,2/15/2024,Microbiological Analysis,Minor,Low,Warning Issued
118.0,Chicken,BrandB,Meat,Water,5/2/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
119.0,Butter,BrandE,Meat,Melamine,4/23/2024,Microbiological Analysis,Minor,Low,Product Recall
120.0,Juice,BrandC,Dairy,Water,5/7/2024,Spectroscopy,Minor,Low,Investigation Launched
121.0,Chicken,BrandB,Bakery,Melamine,3/5/2024,Chemical Analysis,Moderate,Medium,Product Recall
122.0,Wine,BrandD,Condiments,Coloring agents,5/19/2024,Microbiological Analysis,Severe,High,Investigation Launched
123.0,Butter,BrandE,Meat,Chalk,2/25/2024,Microbiological Analysis,Moderate,High,Investigation Launched
124.0,Juice,BrandC,Bakery,Artificial sweeteners,5/7/2024,Spectroscopy,Minor,High,Warning Issued
125.0,Wine,BrandC,Dairy,Melamine,5/11/2024,Spectroscopy,Severe,Low,Fine Imposed
126.0,Beef,BrandC,Dairy,Water,6/6/2024,Spectroscopy,Severe,High,Warning Issued
127.0,Juice,BrandC,Bakery,Coloring agents,2/12/2024,Microbiological Analysis,Moderate,Low,Product Recall
128.0,Yogurt,BrandD,Condiments,Melamine,1/10/2024,Spectroscopy,Moderate,High,Warning Issued
129.0,Juice,BrandB,Bakery,Chalk,3/8/2024,Spectroscopy,Severe,High,Warning Issued
130.0,Bread,BrandB,Condiments,Melamine,2/25/2024,Microbiological Analysis,Moderate,High,Product Recall
131.0,Beef,BrandC,Bakery,Melamine,4/27/2024,Microbiological Analysis,Severe,Low,Warning Issued
132.0,Beef,BrandD,Dairy,Coloring agents,6/3/2024,Spectroscopy,Severe,Low,Product Recall
133.0,Juice,BrandC,Beverages,Coloring agents,5/14/2024,Microbiological Analysis,Moderate,Medium,Product Recall
134.0,Bread,BrandE,Meat,Melamine,1/3/2024,Chemical Analysis,Moderate,Low,Warning Issued
135.0,Beef,BrandD,Meat,Melamine,5/2/2024,Spectroscopy,Severe,Medium,Product Recall
136.0,Beef,BrandD,Condiments,Water,1/17/2024,Spectroscopy,Minor,High,Investigation Launched
137.0,Butter,BrandA,Condiments,Water,1/14/2024,Sensory Evaluation,Minor,Medium,Product Recall
138.0,Milk,BrandA,Beverages,Melamine,6/15/2024,Chemical Analysis,Minor,Medium,Investigation Launched
139.0,Cheese,BrandD,Bakery,Coloring agents,1/6/2024,Sensory Evaluation,Minor,Medium,Product Recall
140.0,Honey,BrandB,Condiments,Coloring agents,1/24/2024,Chemical Analysis,Minor,Low,Product Recall
141.0,Cheese,BrandE,Beverages,Chalk,3/8/2024,Spectroscopy,Minor,High,Product Recall
142.0,Honey,BrandA,Beverages,Melamine,2/22/2024,Chemical Analysis,Moderate,High,Warning Issued
143.0,Butter,BrandA,Dairy,Coloring agents,6/6/2024,Sensory Evaluation,Minor,High,Fine Imposed
144.0,Chicken,BrandB,Meat,Melamine,6/11/2024,Spectroscopy,Moderate,Low,Investigation Launched
145.0,Juice,BrandB,Bakery,Coloring agents,3/26/2024,Chemical Analysis,Moderate,Medium,Warning Issued
146.0,Bread,BrandD,Dairy,Artificial sweeteners,5/15/2024,Spectroscopy,Severe,Low,Fine Imposed
147.0,Yogurt,BrandC,Bakery,Water,5/11/2024,Chemical Analysis,Moderate,Low,Product Recall
148.0,Juice,BrandD,Condiments,Artificial sweeteners,4/29/2024,Microbiological Analysis,Minor,High,Product Recall
149.0,Chicken,BrandE,Meat,Artificial sweeteners,2/10/2024,Sensory Evaluation,Minor,High,Fine Imposed
150.0,Milk,BrandC,Condiments,Coloring agents,4/12/2024,Chemical Analysis,Minor,Low,Product Recall
151.0,Cheese,BrandB,Beverages,Melamine,1/31/2024,Chemical Analysis,Moderate,Medium,Investigation Launched
152.0,Honey,BrandB,Dairy,Chalk,4/29/2024,Microbiological Analysis,Severe,High,Investigation Launched
153.0,Bread,BrandD,Bakery,Chalk,1/28/2024,Spectroscopy,Severe,High,Fine Imposed
154.0,Beef,BrandD,Bakery,Water,3/30/2024,Microbiological Analysis,Moderate,High,Fine Imposed
155.0,Chicken,BrandA,Bakery,Artificial sweeteners,6/16/2024,Spectroscopy,Moderate,High,Fine Imposed
156.0,Chicken,BrandB,Dairy,Chalk,5/28/2024,Chemical Analysis,Minor,Medium,Product Recall
157.0,Chicken,BrandD,Bakery,Artificial sweeteners,6/26/2024,Chemical Analysis,Moderate,Low,Warning Issued
158.0,Bread,BrandC,Beverages,Artificial sweeteners,5/9/2024,Microbiological Analysis,Severe,Low,Investigation Launched
159.0,Butter,BrandC,Meat,Chalk,3/15/2024,Microbiological Analysis,Moderate,Low,Product Recall
160.0,Honey,BrandD,Bakery,Melamine,5/9/2024,Spectroscopy,Moderate,Low,Investigation Launched
161.0,Milk,BrandD,Meat,Melamine,3/22/2024,Sensory Evaluation,Moderate,High,Product Recall
162.0,Wine,BrandD,Bakery,Coloring agents,6/29/2024,Chemical Analysis,Severe,Low,Product Recall
163.0,Bread,BrandE,Dairy,Melamine,3/10/2024,Microbiological Analysis,Minor,High,Fine Imposed
164.0,Honey,BrandD,Bakery,Chalk,1/27/2024,Sensory Evaluation,Severe,Low,Warning Issued
165.0,Juice,BrandD,Meat,Coloring agents,5/20/2024,Spectroscopy,Minor,High,Fine Imposed
166.0,Juice,BrandC,Meat,Artificial sweeteners,1/14/2024,Chemical Analysis,Moderate,Low,Warning Issued
167.0,Butter,BrandD,Beverages,Water,2/16/2024,Spectroscopy,Severe,Medium,Investigation Launched
168.0,Bread,BrandA,Beverages,Coloring agents,4/24/2024,Spectroscopy,Moderate,Medium,Investigation Launched
169.0,Wine,BrandE,Meat,Melamine,3/26/2024,Microbiological Analysis,Minor,Medium,Warning Issued
170.0,Yogurt,BrandA,Meat,Water,6/14/2024,Sensory Evaluation,Severe,Low,Product Recall
171.0,Milk,BrandB,Meat,Chalk,4/16/2024,Sensory Evaluation,Minor,Medium,Investigation Launched
172.0,Beef,BrandC,Meat,Coloring agents,2/5/2024,Chemical Analysis,Moderate,High,Investigation Launched
173.0,Bread,BrandD,Bakery,Water,2/1/2024,Spectroscopy,Severe,Low,Warning Issued
174.0,Chicken,BrandD,Bakery,Melamine,6/21/2024,Spectroscopy,Minor,High,Warning Issued
175.0,Bread,BrandE,Bakery,Melamine,1/29/2024,Sensory Evaluation,Severe,High,Warning Issued
176.0,Chicken,BrandA,Beverages,Coloring agents,1/20/2024,Chemical Analysis,Severe,Low,Warning Issued
177.0,Bread,BrandA,Condiments,Chalk,3/28/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
178.0,Cheese,BrandD,Dairy,Chalk,3/26/2024,Chemical Analysis,Minor,Low,Fine Imposed
179.0,Yogurt,BrandE,Dairy,Water,3/26/2024,Sensory Evaluation,Moderate,Low,Product Recall
180.0,Juice,BrandA,Bakery,Artificial sweeteners,2/16/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
181.0,Wine,BrandB,Condiments,Artificial sweeteners,2/12/2024,Chemical Analysis,Severe,Medium,Fine Imposed
182.0,Juice,BrandE,Bakery,Water,5/28/2024,Microbiological Analysis,Minor,Low,Fine Imposed
183.0,Honey,BrandE,Beverages,Water,3/4/2024,Microbiological Analysis,Severe,Medium,Product Recall
184.0,Beef,BrandA,Beverages,Chalk,6/13/2024,Spectroscopy,Moderate,Low,Product Recall
185.0,Beef,BrandC,Meat,Chalk,3/20/2024,Chemical Analysis,Minor,High,Fine Imposed
186.0,Milk,BrandA,Dairy,Chalk,2/10/2024,Microbiological Analysis,Minor,High,Investigation Launched
187.0,Chicken,BrandB,Dairy,Chalk,5/15/2024,Spectroscopy,Minor,Medium,Product Recall
188.0,Cheese,BrandA,Condiments,Melamine,6/13/2024,Chemical Analysis,Moderate,Low,Investigation Launched
189.0,Butter,BrandA,Condiments,Water,5/5/2024,Spectroscopy,Moderate,Low,Warning Issued
190.0,Juice,BrandD,Bakery,Chalk,2/27/2024,Spectroscopy,Severe,Low,Warning Issued
191.0,Bread,BrandE,Condiments,Artificial sweeteners,1/18/2024,Spectroscopy,Moderate,Medium,Investigation Launched
192.0,Milk,BrandC,Meat,Water,6/10/2024,Spectroscopy,Moderate,Medium,Warning Issued
193.0,Juice,BrandA,Meat,Artificial sweeteners,4/8/2024,Microbiological Analysis,Moderate,Medium,Fine Imposed
194.0,Bread,BrandC,Dairy,Water,5/13/2024,Sensory Evaluation,Severe,Medium,Investigation Launched
195.0,Juice,BrandC,Dairy,Coloring agents,3/25/2024,Sensory Evaluation,Minor,Medium,Fine Imposed
196.0,Honey,BrandE,Bakery,Chalk,4/9/2024,Chemical Analysis,Minor,Medium,Warning Issued
197.0,Cheese,BrandC,Beverages,Coloring agents,4/29/2024,Sensory Evaluation,Moderate,Medium,Product Recall
198.0,Wine,BrandC,Beverages,Water,6/13/2024,Chemical Analysis,Severe,High,Warning Issued
199.0,Juice,BrandD,Beverages,Chalk,2/2/2024,Sensory Evaluation,Minor,High,Product Recall
200.0,Juice,BrandB,Bakery,Artificial sweeteners,6/19/2024,Spectroscopy,Minor,High,Investigation Launched
201.0,Chicken,BrandB,Condiments,Water,4/10/2024,Chemical Analysis,Minor,Medium,Fine Imposed
202.0,Beef,BrandA,Dairy,Coloring agents,4/1/2024,Chemical Analysis,Minor,High,Product Recall
203.0,Juice,BrandC,Meat,Water,6/15/2024,Chemical Analysis,Minor,Medium,Warning Issued
204.0,Chicken,BrandB,Bakery,Coloring agents,4/4/2024,Chemical Analysis,Minor,Medium,Fine Imposed
205.0,Chicken,BrandB,Beverages,Water,6/5/2024,Microbiological Analysis,Moderate,Low,Fine Imposed
206.0,Beef,BrandA,Beverages,Coloring agents,4/21/2024,Spectroscopy,Minor,Low,Fine Imposed
207.0,Butter,BrandC,Dairy,Artificial sweeteners,6/9/2024,Chemical Analysis,Moderate,Medium,Fine Imposed
208.0,Honey,BrandA,Condiments,Chalk,6/25/2024,Chemical Analysis,Moderate,Low,Fine Imposed
209.0,Juice,BrandA,Beverages,Melamine,2/21/2024,Chemical Analysis,Minor,High,Fine Imposed
210.0,Juice,BrandC,Condiments,Artificial sweeteners,3/24/2024,Spectroscopy,Severe,Medium,Fine Imposed
211.0,Honey,BrandB,Beverages,Chalk,6/8/2024,Sensory Evaluation,Minor,High,Investigation Launched
212.0,Yogurt,BrandA,Dairy,Chalk,5/13/2024,Sensory Evaluation,Severe,High,Product Recall
213.0,Juice,BrandB,Condiments,Coloring agents,4/4/2024,Chemical Analysis,Minor,High,Investigation Launched
214.0,Juice,BrandC,Meat,Chalk,6/28/2024,Chemical Analysis,Moderate,High,Investigation Launched
215.0,Milk,BrandE,Bakery,Chalk,6/2/2024,Sensory Evaluation,Moderate,High,Fine Imposed
216.0,Chicken,BrandD,Dairy,Melamine,6/5/2024,Chemical Analysis,Severe,High,Investigation Launched
217.0,Yogurt,BrandA,Dairy,Chalk,2/21/2024,Sensory Evaluation,Severe,Low,Fine Imposed
218.0,Yogurt,BrandE,Dairy,Artificial sweeteners,3/15/2024,Chemical Analysis,Severe,Medium,Product Recall
219.0,Chicken,BrandB,Beverages,Coloring agents,4/15/2024,Spectroscopy,Severe,High,Fine Imposed
220.0,Juice,BrandD,Meat,Artificial sweeteners,5/3/2024,Spectroscopy,Minor,Low,Product Recall
221.0,Honey,BrandD,Dairy,Water,2/26/2024,Chemical Analysis,Severe,Medium,Investigation Launched
222.0,Chicken,BrandC,Meat,Artificial sweeteners,4/8/2024,Chemical Analysis,Minor,Low,Fine Imposed
223.0,Butter,BrandC,Dairy,Coloring agents,5/30/2024,Microbiological Analysis,Moderate,Medium,Product Recall
224.0,Milk,BrandD,Meat,Water,6/18/2024,Sensory Evaluation,Minor,Low,Fine Imposed
225.0,Beef,BrandC,Meat,Coloring agents,2/4/2024,Spectroscopy,Moderate,High,Fine Imposed
226.0,Milk,BrandB,Meat,Water,5/30/2024,Sensory Evaluation,Minor,High,Product Recall
227.0,Butter,BrandB,Bakery,Water,5/22/2024,Spectroscopy,Moderate,Medium,Fine Imposed
228.0,Bread,BrandD,Beverages,Coloring agents,5/8/2024,Microbiological Analysis,Minor,High,Investigation Launched
229.0,Beef,BrandE,Dairy,Coloring agents,4/27/2024,Chemical Analysis,Moderate,Medium,Warning Issued
230.0,Juice,BrandA,Meat,Chalk,1/6/2024,Microbiological Analysis,Minor,Medium,Investigation Launched
231.0,Juice,BrandD,Dairy,Water,4/13/2024,Microbiological Analysis,Moderate,High,Fine Imposed
232.0,Juice,BrandB,Beverages,Coloring agents,5/14/2024,Spectroscopy,Minor,Low,Investigation Launched
233.0,Juice,BrandE,Bakery,Melamine,1/18/2024,Chemical Analysis,Minor,Low,Product Recall
234.0,Yogurt,BrandE,Bakery,Artificial sweeteners,2/10/2024,Sensory Evaluation,Severe,Low,Fine Imposed
235.0,Wine,BrandD,Condiments,Coloring agents,3/7/2024,Chemical Analysis,Minor,Low,Investigation Launched
236.0,Wine,BrandA,Condiments,Artificial sweeteners,1/15/2024,Sensory Evaluation,Severe,High,Fine Imposed
237.0,Cheese,BrandA,Meat,Coloring agents,5/4/2024,Chemical Analysis,Severe,Low,Investigation Launched
238.0,Cheese,BrandE,Beverages,Melamine,5/10/2024,Microbiological Analysis,Severe,High,Fine Imposed
239.0,Chicken,BrandC,Meat,Coloring agents,6/10/2024,Spectroscopy,Minor,Medium,Fine Imposed
240.0,Milk,BrandD,Condiments,Melamine,2/17/2024,Sensory Evaluation,Moderate,Medium,Fine Imposed
241.0,Butter,BrandE,Beverages,Artificial sweeteners,3/23/2024,Microbiological Analysis,Severe,High,Fine Imposed
242.0,Juice,BrandC,Beverages,Coloring agents,6/6/2024,Microbiological Analysis,Minor,High,Warning Issued
243.0,Chicken,BrandD,Meat,Coloring agents,6/15/2024,Microbiological Analysis,Severe,High,Investigation Launched
244.0,Honey,BrandD,Beverages,Artificial sweeteners,5/4/2024,Microbiological Analysis,Severe,Low,Warning Issued
245.0,Juice,BrandC,Bakery,Artificial sweeteners,2/29/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
246.0,Cheese,BrandA,Meat,Melamine,5/26/2024,Chemical Analysis,Minor,Low,Product Recall
247.0,Juice,BrandB,Condiments,Coloring agents,6/6/2024,Chemical Analysis,Moderate,Low,Warning Issued
248.0,Yogurt,BrandC,Meat,Melamine,5/3/2024,Spectroscopy,Minor,High,Warning Issued
249.0,Cheese,BrandB,Beverages,Coloring agents,1/24/2024,Microbiological Analysis,Minor,Low,Fine Imposed
250.0,Yogurt,BrandA,Condiments,Water,4/26/2024,Spectroscopy,Severe,High,Fine Imposed
251.0,Juice,BrandE,Dairy,Coloring agents,1/13/2024,Sensory Evaluation,Severe,Medium,Fine Imposed
252.0,Cheese,BrandB,Condiments,Coloring agents,4/30/2024,Chemical Analysis,Minor,Low,Fine Imposed
253.0,Milk,BrandD,Condiments,Melamine,6/14/2024,Chemical Analysis,Moderate,High,Investigation Launched
